Date,Price,Open,High,Low,Vol.,Change %
5/17/2009,43.75,40.0,45.0,39.75,595.70K,10.06%
5/24/2009,42.0,44.0,44.5,41.5,386.50K,-4.00%
5/31/2009,41.75,41.75,43.5,41.0,178.20K,-0.60%
6/7/2009,43.0,42.0,43.5,41.25,854.30K,2.99%
6/14/2009,49.5,42.5,50.0,41.75,1.58M,15.12%
6/21/2009,49.25,50.0,51.0,48.0,427.70K,-0.51%
6/28/2009,47.5,50.0,50.0,46.75,165.20K,-3.55%
7/5/2009,45.5,46.75,48.0,45.0,57.80K,-4.21%
7/12/2009,46.0,46.0,47.0,44.75,180.20K,1.10%
7/19/2009,47.0,46.0,48.5,46.0,234.70K,2.17%
7/26/2009,47.5,47.25,48.5,46.0,406.00K,1.06%
8/2/2009,45.5,47.5,47.5,45.5,162.50K,-4.21%
8/9/2009,42.0,45.0,45.25,40.25,502.30K,-7.69%
8/16/2009,42.75,42.0,44.75,41.75,287.20K,1.79%
8/23/2009,42.0,42.0,43.0,41.5,366.00K,-1.75%
8/30/2009,41.0,42.0,42.5,40.0,325.90K,-2.38%
9/6/2009,45.25,41.5,46.0,41.5,446.60K,10.37%
9/13/2009,46.25,44.75,47.25,42.0,579.70K,2.21%
9/20/2009,44.0,45.0,46.0,43.25,166.80K,-4.86%
9/27/2009,45.0,44.5,46.0,44.0,326.60K,2.27%
10/4/2009,47.5,45.5,48.0,45.0,1.14M,5.56%
10/11/2009,47.0,46.75,48.0,45.25,144.40K,-1.05%
10/18/2009,46.0,45.5,46.0,41.5,147.20K,-2.13%
10/25/2009,44.0,46.0,46.75,43.75,180.40K,-4.35%
11/1/2009,43.25,43.5,44.5,41.5,190.60K,-1.70%
11/8/2009,43.75,43.0,44.0,41.0,129.00K,1.16%
11/15/2009,41.25,43.0,43.5,41.25,57.90K,-5.71%
11/22/2009,39.75,41.25,42.0,39.5,93.80K,-3.64%
11/29/2009,42.0,40.5,43.0,40.0,83.20K,5.66%
12/6/2009,43.5,42.0,44.0,42.0,130.60K,3.57%
12/13/2009,44.5,44.0,45.0,41.5,84.10K,2.30%
12/20/2009,47.0,44.0,47.0,43.5,340.60K,5.62%
12/27/2009,46.5,46.75,47.0,44.25,36.20K,-1.06%
1/3/2010,43.0,46.0,46.5,42.0,125.40K,-7.53%
1/10/2010,43.5,43.0,43.75,42.25,101.80K,1.16%
1/17/2010,43.25,43.0,43.5,41.25,321.30K,-0.57%
1/24/2010,42.0,43.5,43.5,41.5,36.50K,-2.89%
1/31/2010,42.0,42.25,43.5,41.75,245.00K,0.00%
2/7/2010,42.0,42.75,43.5,40.5,120.30K,0.00%
2/14/2010,40.0,42.0,42.0,40.0,167.90K,-4.76%
2/21/2010,39.5,40.25,40.5,38.5,174.50K,-1.25%
